    time    temp    dens
   1.00000000000000E+07   2.00000000000000E-01   1.00000000000000E+04
     nin     zin       y       x
  1    0     2.38155520931827E-18   2.38155520931827E-18
  0    1     1.23730845993897E-18   1.23730845993897E-18
  1    1     9.91640864592100E-31   1.98328172918420E-30
  2    1     2.14884605877625E-37   6.44653817632875E-37
  1    2     1.63382380796092E-38   4.90147142388275E-38
  2    2     7.91806307445207E-02   3.16722522978083E-01
  4    2     4.14738561235997E-60   2.48843136741598E-59
  3    3     8.84939308785601E-29   5.30963585271360E-28
  4    3     1.12252523298991E-31   7.85767663092934E-31
  5    3     1.84583824710725E-42   1.47667059768580E-41
  6    3     7.18822183902850E-53   6.46939965512565E-52
  3    4     2.09192769698455E-33   1.46434938788919E-32
  5    4     1.53621788601452E-19   1.38259609741307E-18
  6    4     1.85302152996300E-25   1.85302152996300E-24
  7    4     1.77232400059171E-36   1.94955640065089E-35
  8    4     4.66085998926374E-49   5.59303198711649E-48
  3    5     6.53875745137875E-53   5.23100596110300E-52
  5    5     1.07856622571755E-26   1.07856622571755E-25
  6    5     3.47230058741571E-27   3.81953064615728E-26
  7    5     2.09305617159343E-38   2.51166740591212E-37
  8    5     2.33135522615761E-50   3.03076179400489E-49
  9    5     9.91266484846235E-65   1.38777307878473E-63
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     2.32467730633192E-34   2.55714503696511E-33
  6    6     2.90539303234770E-03   3.48647163881725E-02
  7    6     3.65239329860204E-09   4.74811128818265E-08
  8    6     1.26248489107126E-02   1.76747884749976E-01
  9    6     8.00963665979265E-13   1.20144549896890E-11
 10    6     2.16792622677294E-24   3.46868196283671E-23
 11    6     1.05231686804511E-36   1.78893867567669E-35
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     3.13276102486871E-16   4.07258933232932E-15
  7    7     3.26072260146556E-07   4.56501164205179E-06
  8    7     4.09831287349252E-03   6.14746931023878E-02
  9    7     4.96100764012128E-13   7.93761222419405E-12
 10    7     1.75953803891706E-23   2.99121466615900E-22
 11    7     2.18145884585349E-35   3.92662592253627E-34
 12    7     1.62687121487807E-47   3.09105530826832E-46
 13    7     2.34142024953746E-59   4.68284049907493E-58
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     5.89374740299587E-21   8.84062110449381E-20
  8    8     2.31354600078453E-02   3.70167360125525E-01
  9    8     1.96178059377528E-03   3.33502700941798E-02
 10    8     2.41421322002390E-05   4.34558379604303E-04
 11    8     1.60365860681010E-14   3.04695135293919E-13
 12    8     2.82874921036911E-22   5.65749842073822E-21
 13    8     8.11046540273827E-33   1.70319773457504E-31
 14    8     2.18193257797614E-45   4.80025167154750E-44
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     7.58292955633099E-58   1.21326872901296E-56
  8    9     3.46172740586091E-18   5.88493658996356E-17
  9    9     2.10605092826143E-10   3.79089167087058E-09
 10    9     6.55758010750942E-05   1.24594022042679E-03
 11    9     1.25657003665161E-11   2.51314007330323E-10
 12    9     7.11377457859146E-19   1.49389266150421E-17
 13    9     2.93624999058464E-30   6.45974997928620E-29
 14    9     8.81891454537331E-42   2.02835034543586E-40
 15    9     8.31934914296517E-53   1.99664379431164E-51
 16    9     5.48817100407954E-65   1.37204275101989E-63
 17    9     6.73180464465263E-78   1.75026920760968E-76
  7   10     1.63670053542998E-91   2.78239091023097E-90
  8   10     6.12069773766564E-37   1.10172559277982E-35
  9   10     3.25695969740570E-27   6.18822342507083E-26
 10   10     5.77457417401960E-05   1.15491483480392E-03
 11   10     8.90286634632987E-06   1.86960193272927E-04
 12   10     3.54670083256611E-06   7.80274183164544E-05
 13   10     3.48604882492496E-14   8.01791229732740E-13
 14   10     2.54517851875373E-22   6.10842844500896E-21
 15   10     5.19068815414321E-33   1.29767203853580E-31
 16   10     5.48792953479100E-45   1.42686167904566E-43
 17   10     6.90177768962740E-58   1.86347997619940E-56
 18   10     2.02188891082727E-69   5.66128895031635E-68
 19   10     5.20434071908322E-82   1.50925880853413E-80
 20   10     1.16674992376754E-93   3.50024977130263E-92
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     2.59995107877321E-67   4.93990704966910E-66
  9   11     7.58527168629731E-48   1.51705433725946E-46
 10   11     1.48933045234583E-22   3.12759394992625E-21
 11   11     1.59511391435994E-15   3.50925061159187E-14
 12   11     1.75794789959374E-08   4.04328016906559E-07
 13   11     1.08593996733341E-11   2.60625592160019E-10
 14   11     9.23487642076872E-18   2.30871910519218E-16
 15   11     5.79820033403844E-26   1.50753208684999E-24
 16   11     1.25459038911579E-34   3.38739405061263E-33
 17   11     1.56540155228549E-45   4.38312434639938E-44
 18   11     1.37900035496660E-55   3.99910102940313E-54
 19   11     7.90021765316260E-67   2.37006529594878E-65
 20   11     1.72216393952776E-77   5.33870821253605E-76
 21   11     2.14294083060440E-89   6.85741065793408E-88
 22   11     1.00000000000000E-99   1.00000000000000E-99
 23   11     1.00000000000000E-99   1.00000000000000E-99
 24   11     1.00000000000000E-99   1.00000000000000E-99
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     3.14632364558120E-84   6.29264729116240E-83
  9   12     1.66261690432599E-65   3.49149549908459E-64
 10   12     1.33251416248361E-37   2.93153115746394E-36
 11   12     1.14923232104253E-29   2.64323433839782E-28
 12   12     1.48509025296554E-08   3.56421660711729E-07
 13   12     5.96029231166430E-09   1.49007307791608E-07
 14   12     2.44286715167601E-07   6.35145459435763E-06
 15   12     5.42134957808909E-14   1.46376438608406E-12
 16   12     5.45998542516841E-17   1.52879591904715E-15
 17   12     1.04380361317943E-25   3.02703047822036E-24
 18   12     1.43830455780183E-34   4.31491367340550E-33
 19   12     7.30729798615873E-45   2.26526237570921E-43
 20   12     1.28014838156481E-54   4.09647482100741E-53
 21   12     1.18881372791894E-65   3.92308530213249E-64
 22   12     9.33384341196938E-77   3.17350676006959E-75
 23   12     1.00000000000000E-99   1.00000000000000E-99
 24   12     1.00000000000000E-99   1.00000000000000E-99
 25   12     1.00000000000000E-99   1.00000000000000E-99
 26   12     1.00000000000000E-99   1.00000000000000E-99
 27   12     1.00000000000000E-99   1.00000000000000E-99
 28   12     1.00000000000000E-99   1.00000000000000E-99
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
  9   13     1.00000000000000E-99   1.00000000000000E-99
 10   13     1.50932704892200E-60   3.47145221252060E-59
 11   13     4.43086838867694E-50   1.06340841328247E-48
 12   13     1.91601106988283E-22   4.79002767470708E-21
 13   13     7.81679128362417E-20   2.03236573374228E-18
 14   13     5.03358859255348E-09   1.35906891998944E-07
 15   13     1.27446608058913E-14   3.56850502564955E-13
 16   13     2.44450916639998E-19   7.08907658255994E-18
 17   13     6.51105944824703E-27   1.95331783447411E-25
 18   13     4.90884461438392E-35   1.52174183045901E-33
 19   13     2.92115728286581E-45   9.34770330517059E-44
 20   13     8.21796948206580E-55   2.71192992908171E-53
 21   13     1.14935345078190E-65   3.90780173265847E-64
 22   13     2.07549026042951E-75   7.26421591150327E-74
 23   13     2.12027361403045E-86   7.63298501050961E-85
 24   13     3.23506213253196E-97   1.19697298903682E-95
 25   13     1.00000000000000E-99   1.00000000000000E-99
 26   13     1.00000000000000E-99   1.00000000000000E-99
 27   13     1.00000000000000E-99   1.00000000000000E-99
 28   13     1.00000000000000E-99   1.00000000000000E-99
 29   13     1.00000000000000E-99   1.00000000000000E-99
 30   13     1.00000000000000E-99   1.00000000000000E-99
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     1.00000000000000E-99   1.00000000000000E-99
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     1.00000000000000E-99   1.00000000000000E-99
  9   14     1.00000000000000E-99   1.00000000000000E-99
 10   14     8.44417647695750E-78   2.02660235446980E-76
 11   14     8.76321276013669E-70   2.19080319003417E-68
 12   14     3.09132249995837E-41   8.03743849989175E-40
 13   14     1.85103407702207E-35   4.99779200795959E-34
 14   14     2.63790077933824E-08   7.38612218214707E-07
 15   14     2.46921622517870E-09   7.16072705301822E-08
 16   14     1.03802760744174E-08   3.11408282232522E-07
 17   14     1.80419525661448E-12   5.59300529550490E-11
 18   14     2.51672866538810E-08   8.05353172924191E-07
 19   14     3.16917910188588E-16   1.04582910362234E-14
 20   14     2.96771390559832E-24   1.00902272790343E-22
 21   14     4.06815839747832E-34   1.42385543911741E-32
 22   14     1.50303463567156E-43   5.41092468841760E-42
 23   14     2.40044133165218E-54   8.88163292711306E-53
 24   14     2.72064478226957E-64   1.03384501726244E-62
 25   14     3.89887438176533E-76   1.52056100888848E-74
 26   14     4.98591500632091E-87   1.99436600252836E-85
 27   14     3.09472270382696E-98   1.26883630856905E-96
 28   14     1.00000000000000E-99   1.00000000000000E-99
 29   14     1.00000000000000E-99   1.00000000000000E-99
 30   14     1.00000000000000E-99   1.00000000000000E-99
 31   14     1.00000000000000E-99   1.00000000000000E-99
 32   14     1.00000000000000E-99   1.00000000000000E-99
 33   14     1.00000000000000E-99   1.00000000000000E-99
 34   14     1.00000000000000E-99   1.00000000000000E-99
 35   14     1.00000000000000E-99   1.00000000000000E-99
 36   14     1.00000000000000E-99   1.00000000000000E-99
 37   14     1.00000000000000E-99   1.00000000000000E-99
 38   14     1.00000000000000E-99   1.00000000000000E-99
 39   14     1.00000000000000E-99   1.00000000000000E-99
 40   14     1.00000000000000E-99   1.00000000000000E-99
  8   15     1.00000000000000E-99   1.00000000000000E-99
  9   15     1.00000000000000E-99   1.00000000000000E-99
 10   15     1.00000000000000E-99   1.00000000000000E-99
 11   15     6.99362152203257E-90   1.81834159572847E-88
 12   15     2.60576242269598E-59   7.03555854127914E-58
 13   15     2.00659340618866E-54   5.61846153732825E-53
 14   15     7.73908388261388E-27   2.24433432595802E-25
 15   15     2.39365602172964E-24   7.18096806518891E-23
 16   15     1.02255884576153E-08   3.16993242186075E-07
 17   15     9.01345854673515E-11   2.88430673495525E-09
 18   15     3.94480194010151E-10   1.30178464023350E-08
 19   15     7.77466099014666E-17   2.64338473664986E-15
 20   15     7.95229944123701E-23   2.78330480443295E-21
 21   15     5.56947064637813E-31   2.00500943269613E-29
 22   15     1.56965092221797E-38   5.80770841220649E-37
 23   15     1.38741973348308E-47   5.27219498723572E-46
 24   15     3.35184397347394E-56   1.30721914965484E-54
 25   15     7.82359059552334E-66   3.12943623820934E-64
 26   15     1.13907314184035E-75   4.67019988154544E-74
 27   15     8.48147728780495E-87   3.56222046087808E-85
 28   15     5.73346364051641E-97   2.46538936542206E-95
 29   15     1.00000000000000E-99   1.00000000000000E-99
 30   15     1.00000000000000E-99   1.00000000000000E-99
 31   15     1.00000000000000E-99   1.00000000000000E-99
 32   15     1.00000000000000E-99   1.00000000000000E-99
 33   15     1.00000000000000E-99   1.00000000000000E-99
 34   15     1.00000000000000E-99   1.00000000000000E-99
 35   15     1.00000000000000E-99   1.00000000000000E-99
 36   15     1.00000000000000E-99   1.00000000000000E-99
 37   15     1.00000000000000E-99   1.00000000000000E-99
 38   15     1.00000000000000E-99   1.00000000000000E-99
 39   15     1.00000000000000E-99   1.00000000000000E-99
 40   15     1.00000000000000E-99   1.00000000000000E-99
 41   15     1.00000000000000E-99   1.00000000000000E-99
 42   15     1.00000000000000E-99   1.00000000000000E-99
  8   16     1.00000000000000E-99   1.00000000000000E-99
  9   16     1.00000000000000E-99   1.00000000000000E-99
 10   16     1.00000000000000E-99   1.00000000000000E-99
 11   16     1.00000000000000E-99   1.00000000000000E-99
 12   16     6.80449822798420E-84   1.90525950383557E-82
 13   16     1.49214922680078E-73   4.32723275772225E-72
 14   16     2.79371963744710E-46   8.38115891234130E-45
 15   16     3.05481756533682E-43   9.46993445254413E-42
 16   16     9.15457331175142E-10   2.92946345976045E-08
 17   16     4.32078456558187E-10   1.42585890664202E-08
 18   16     1.41513019868526E-07   4.81144267552988E-06
 19   16     1.71873792442459E-09   6.01558273548606E-08
 20   16     3.55342931665280E-07   1.27923455399501E-05
 21   16     9.31220366188023E-14   3.44551535489568E-12
 22   16     6.41143383337808E-18   2.43634485668367E-16
 23   16     2.19212353798310E-25   8.54928179813410E-24
 24   16     1.87886512816025E-32   7.51546051264099E-31
 25   16     4.52268769894417E-41   1.85430195656711E-39
 26   16     1.24766586654592E-49   5.24019663949287E-48
 27   16     8.40294520976536E-60   3.61326644019911E-58
 28   16     2.05550718464679E-70   9.04423161244587E-69
 29   16     4.03696559839727E-82   1.81663451927877E-80
 30   16     5.25562881492034E-93   2.41758925486336E-91
 31   16     1.00000000000000E-99   1.00000000000000E-99
 32   16     1.00000000000000E-99   1.00000000000000E-99
 33   16     1.00000000000000E-99   1.00000000000000E-99
 34   16     1.00000000000000E-99   1.00000000000000E-99
 35   16     1.00000000000000E-99   1.00000000000000E-99
 36   16     1.00000000000000E-99   1.00000000000000E-99
 37   16     1.00000000000000E-99   1.00000000000000E-99
 38   16     1.00000000000000E-99   1.00000000000000E-99
 39   16     1.00000000000000E-99   1.00000000000000E-99
 40   16     1.00000000000000E-99   1.00000000000000E-99
 41   16     1.00000000000000E-99   1.00000000000000E-99
 42   16     1.00000000000000E-99   1.00000000000000E-99
 43   16     1.00000000000000E-99   1.00000000000000E-99
 44   16     1.00000000000000E-99   1.00000000000000E-99
