    time    temp    dens
   9.96916002448041E+06   2.00000000000000E-01   1.00000000000000E+04
     nin     zin       y       x
  1    0     2.38171431840910E-18   2.38171431840910E-18
  0    1     1.23329843196954E-18   1.23329843196954E-18
  1    1     9.90652978390308E-31   1.98130595678062E-30
  2    1     2.14295950101223E-37   6.42887850303669E-37
  1    2     1.62395921762079E-38   4.87187765286237E-38
  2    2     7.91520619456049E-02   3.16608247782419E-01
  4    2     4.14644319502439E-60   2.48786591701463E-59
  3    3     8.82137995862921E-29   5.29282797517753E-28
  4    3     1.11944705804091E-31   7.83612940628639E-31
  5    3     1.84150363660304E-42   1.47320290928243E-41
  6    3     7.17192171975136E-53   6.45472954777623E-52
  3    4     2.07884752778092E-33   1.45519326944665E-32
  5    4     1.53576513614812E-19   1.38218862253331E-18
  6    4     1.85324588738248E-25   1.85324588738249E-24
  7    4     1.77322626643760E-36   1.95054889308136E-35
  8    4     4.66354431455682E-49   5.59625317746818E-48
  3    5     6.47681770119685E-53   5.18145416095748E-52
  5    5     1.07514970762058E-26   1.07514970762058E-25
  6    5     3.45964674754121E-27   3.80561142229533E-26
  7    5     2.08556805639950E-38   2.50268166767940E-37
  8    5     2.32316977087731E-50   3.02012070214050E-49
  9    5     9.87852112587236E-65   1.38299295762213E-63
  3    6     1.97651004412684E-31   1.77885903971416E-30
  4    6     2.54655787369700E-60   2.54655787369700E-59
  5    6     2.30934987827050E-34   2.54028486609755E-33
  6    6     2.90765080752477E-03   3.48918096902973E-02
  7    6     3.65677153778680E-09   4.75380299912284E-08
  8    6     1.25971225871390E-02   1.76359716219946E-01
  9    6     7.99258042116747E-13   1.19888706317512E-11
 10    6     2.16345423206620E-24   3.46152677130591E-23
 11    6     1.05021630950421E-36   1.78536772615716E-35
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     3.76542725415672E-38   4.51851270498806E-37
  6    7     3.12503748269271E-16   4.06254872750053E-15
  7    7     3.24744742504209E-07   4.54642639505893E-06
  8    7     4.09431969780947E-03   6.14147954671420E-02
  9    7     4.95650501637543E-13   7.93040802620069E-12
 10    7     1.75805852064424E-23   2.98869948509520E-22
 11    7     2.17977017040368E-35   3.92358630672662E-34
 12    7     1.62572045268805E-47   3.08886886010730E-46
 13    7     2.33992037010261E-59   4.67984074020522E-58
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     6.33241494177916E-56   8.23213942431291E-55
  6    8     9.28495498560795E-63   1.29989369798511E-61
  7    8     5.85071464314263E-21   8.77607196471395E-20
  8    8     2.31633399867535E-02   3.70613439788056E-01
  9    8     1.96358385847686E-03   3.33809255941066E-02
 10    8     2.40567850072990E-05   4.33022130131382E-04
 11    8     1.59809610599335E-14   3.03638260138736E-13
 12    8     2.81912563371491E-22   5.63825126742982E-21
