    time    temp    dens
   1.00000000000000E+07   2.00000000000000E-01   1.00000000000000E+04
     nin     zin       y       x
  1    0     2.37541773081498E-18   2.37541773081498E-18
  0    1     1.23438723074859E-18   1.23438723074859E-18
  1    1     9.88789164864733E-31   1.97757832972947E-30
  2    1     2.13351420710494E-37   6.40054262131483E-37
  1    2     1.62251832412348E-38   4.86755497237045E-38
  2    2     7.91524491088606E-02   3.16609796435442E-01
  4    2     4.12456827517189E-60   2.47474096510313E-59
  3    3     8.80582187281849E-29   5.28349312369109E-28
  4    3     1.11452203896726E-31   7.80165427277082E-31
  5    3     1.82854684743826E-42   1.46283747795061E-41
  6    3     7.10263170154709E-53   6.39236853139238E-52
  3    4     2.07956553204833E-33   1.45569587243383E-32
  5    4     1.53171254838060E-19   1.37854129354254E-18
  6    4     1.84347157555098E-25   1.84347157555098E-24
  7    4     1.75920322092374E-36   1.93512354301611E-35
  8    4     4.61443241953795E-49   5.53731890344554E-48
  3    5     6.48477457764799E-53   5.18781966211839E-52
  5    5     1.07326218595180E-26   1.07326218595180E-25
  6    5     3.45808613016386E-27   3.80389474318025E-26
  7    5     2.07911609997082E-38   2.49493931996498E-37
  8    5     2.30985995184413E-50   3.00281793739737E-49
  9    5     9.79595903682768E-65   1.37143426515588E-63
  3    6     7.99533404288823E-31   7.19580063859941E-30
  4    6     1.02829120602281E-59   1.02829120602281E-58
  5    6     2.31023870872319E-34   2.54126257959551E-33
  6    6     2.90778336246954E-03   3.48934003496345E-02
  7    6     3.64726284979546E-09   4.74144170473410E-08
  8    6     1.25986174968213E-02   1.76380644955498E-01
  9    6     7.97239624566757E-13   1.19585943685014E-11
 10    6     2.15228559795053E-24   3.44365695672085E-23
 11    6     1.04203251881900E-36   1.77145528199230E-35
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.52318947435216E-37   1.82782736922259E-36
  6    7     3.12795744902101E-16   4.06634468372731E-15
  7    7     3.25464031696397E-07   4.55649644374955E-06
  8    7     4.09432644775114E-03   6.14148967162671E-02
  9    7     4.94340955486052E-13   7.90945528777684E-12
 10    7     1.74877806266653E-23   2.97292270653310E-22
 11    7     2.16253129351787E-35   3.89255632833216E-34
 12    7     1.60859935980699E-47   3.05633878363327E-46
 13    7     2.30915681306778E-59   4.61831362613556E-58
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     2.56384781947206E-55   3.33300216531367E-54
  6    8     3.74899011014639E-62   5.24858615420495E-61
  7    8     5.86887600997613E-21   8.80331401496419E-20
  8    8     2.31618223674805E-02   3.70589157879688E-01
  9    8     1.96329325682493E-03   3.33759853660238E-02
 10    8     2.40844707042909E-05   4.33520472677237E-04
 11    8     1.59570549708037E-14   3.03184044445271E-13
 12    8     2.80746665295855E-22   5.61493330591710E-21
 13    8     8.02870085022487E-33   1.68602717854722E-31
 14    8     2.15436937461408E-45   4.73961262415097E-44
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     7.53311169538388E-58   1.20529787126142E-56
  8    9     3.45750191479210E-18   5.87775325514657E-17
  9    9     2.10193442327998E-10   3.78348196190396E-09
 10    9     6.55001941826230E-05   1.24450368946984E-03
 11    9     1.25188669033774E-11   2.50377338067548E-10
 12    9     7.06899641499345E-19   1.48448924714862E-17
 13    9     2.91024820607270E-30   6.40254605335994E-29
 14    9     8.71829330841330E-42   2.00520746093506E-40
 15    9     8.20323272156978E-53   1.96877585317675E-51
 16    9     5.39762435111245E-65   1.34940608777811E-63
 17    9     6.60367765508295E-78   1.71695619032157E-76
  7   10     1.61897605204078E-91   2.75225928846932E-90
  8   10     6.09880214750977E-37   1.09778438655176E-35
  9   10     3.24286216989685E-27   6.16143812280401E-26
 10   10     5.77469338196406E-05   1.15493867639281E-03
 11   10     8.90692880155143E-06   1.87045504832580E-04
 12   10     3.53779566094069E-06   7.78315045406951E-05
 13   10     3.46833463247118E-14   7.97716965468372E-13
